セクション,項目,轩逸 2026款 1.6L CVT省心版,轩逸 2026款 1.6L CVT真心版,轩逸 2026款 1.6L CVT悦享版,轩逸 2026款 1.6L CVT黑金版,轩逸 2026款 1.6L CVT智驾版,轩逸 2025款 1.6L CVT真心版,轩逸 2024款 改款三 经典 1.6XE CVT舒适版,轩逸 2024款 改款 经典 1.6XE+ CVT大屏版,轩逸 2024款 改款二 经典 1.6XL CVT豪华版,轩逸 2024款 改款二 经典 1.6XV CVT尊享版,轩逸 2023款 超混电驱 全电驱Pro,轩逸 2023款 超混电驱 全电驱大屏版,轩逸 2023款 超混电驱 超智联Plus,轩逸 2023款 超混电驱 超智驾Max,轩逸 2023款 超混电驱 超豪华Ultra,轩逸 2023款 1.6L CVT舒享版,轩逸 2023款 改款 1.6L CVT悦享版,轩逸 2023款 1.6L CVT黑金版,轩逸 2023款 改款 1.6L CVT智驾版,轩逸 2021款 经典 1.6XE CVT专享版,轩逸 2026款 基本型
电池/充电,电池类型,-,-,-,-,-,-,-,-,-,-,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-,-,-,-
电池/充电,电芯品牌,-,-,-,-,-,-,-,-,-,-,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,-,-,-,-,-,-
电池/充电,电池冷却方式,-,-,-,-,-,-,-,-,-,-,风冷,风冷,风冷,风冷,风冷,-,-,-,-,-,-
变速箱,简称,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,1,1,1,1,1,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 脚刹,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 手刹,● 手刹,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 脚刹,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 电子驻车
车轮制动,前轮胎规格,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 195/60 R16,● 195/60 R16,● 195/60 R16,● 195/60 R16,● 205/60 R16,● 205/60 R16,● 215/50 R17,● 215/50 R17,● 215/50 R17,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 195/60 R16,● 205/60 R16
车轮制动,后轮胎规格,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 195/60 R16,● 195/60 R16,● 195/60 R16,● 195/60 R16,● 205/60 R16,● 205/60 R16,● 215/50 R17,● 215/50 R17,● 215/50 R17,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 195/60 R16,● 205/60 R16
车轮制动,备胎规格,-,-,-,-,-,● 非全尺寸,● 无,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,-
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压报警,-
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,车道偏离预警系统,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
主动安全,疲劳驾驶提示,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
主动安全,前方碰撞预警,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
主动安全,移动物体预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-
主动安全,低速行车警告,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-
主动安全,内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-
驾驶操控,驾驶模式切换,● 经济 标准/舒适,● 经济 标准/舒适,● 经济 标准/舒适,● 经济 标准/舒适,● 经济 标准/舒适,● 经济 标准/舒适,● 经济,● 经济,● 经济,● 经济,● 经济 标准/舒适,● 经济 标准/舒适,● 经济 标准/舒适,● 经济 标准/舒适,● 经济 标准/舒适,● 经济 标准/舒适,● 经济 标准/舒适,● 经济 标准/舒适,● 经济 标准/舒适,● 经济,-
驾驶操控,发动机启停技术,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,-,●,●,●,●,-
驾驶操控,单踏板模式,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-
驾驶操控,能量回收系统,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-
驾驶操控,自动驻车,-,●,●,●,●,●,-,-,-,-,●,●,●,●,●,-,●,●,●,-,-
驾驶操控,上坡辅助,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-
驾驶硬件,前/后驻车雷达,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 前 / 后,-,-,-,-,-,-
驾驶硬件,驾驶辅助影像,-,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,-,● 倒车影像,● 倒车影像,● 倒车影像,-,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,-,● 倒车影像,● 倒车影像,● 倒车影像,-,-
驾驶硬件,前方感知摄像头,-,-,-,-,● 单目,-,-,-,-,-,-,-,-,● 单目,● 单目,-,-,-,● 单目,-,-
驾驶硬件,摄像头数量,-,● 1个,● 1个,● 1个,● 2个,● 1个,-,● 1个,● 1个,● 1个,-,● 1个,● 1个,● 2个,● 5个,-,● 1个,● 1个,● 2个,-,-
驾驶硬件,超声波雷达数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 8个,-,-,-,-,-,-
驾驶功能,巡航系统,-,-,-,-,● 全速自适应巡航,-,-,-,-,-,-,-,-,● 全速自适应巡航,● 全速自适应巡航,-,-,-,● 全速自适应巡航,-,-
驾驶功能,辅助驾驶系统,-,-,-,-,● ProPILOT,-,-,-,-,-,-,-,-,● ProPILOT,● ProPILOT,-,-,-,● ProPILOT,-,-
驾驶功能,辅助驾驶等级,-,-,-,-,● L2,-,-,-,-,-,-,-,-,● L2,● L2,-,-,-,● L2,-,-
驾驶功能,倒车车侧预警系统,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
驾驶功能,卫星导航系统,-,●,●,●,●,●,-,●,●,●,-,●,●,●,●,-,●,●,●,-,-
驾驶功能,导航路况信息显示,-,●,●,●,●,●,-,●,●,●,-,●,●,●,●,-,●,●,●,-,-
驾驶功能,地图品牌,-,● 高德,● 高德,● 高德,● 高德,● 高德,-,● 高德,● 高德,● 高德,-,● 高德,● 高德,● 高德,● 高德,-,● 高德,● 高德,● 高德,-,-
驾驶功能,并线辅助,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
驾驶功能,车道居中保持,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 钢,-
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,-
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,无钥匙进入功能,-,-,● 前排,● 前排,● 前排,-,-,-,-,● 驾驶位,-,-,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,-,-
外观/防盗,主动闭合式进气格栅,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-
外观/防盗,远程启动功能,-,●,●,●,●,●,-,-,-,-,-,●,●,●,●,-,●,●,●,-,-
车外灯光,近光灯光源,● 卤素,● LED,● LED,● LED,● LED,● LED,● 卤素,● 卤素,● 卤素,● LED,● 卤素,● 卤素,● LED,● LED,● LED,● 卤素,● LED,● LED,● LED,● 卤素,-
车外灯光,远光灯光源,● 卤素,● LED,● LED,● LED,● LED,● LED,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● LED,● LED,● LED,● 卤素,● LED,● LED,● LED,● 卤素,-
车外灯光,LED日间行车灯,-,●,●,●,●,●,-,-,-,●,-,-,●,●,●,-,●,●,●,-,-
车外灯光,自适应远近光,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-
车外灯光,自动头灯,-,●,●,●,●,●,-,-,-,●,-,-,●,●,●,-,●,●,●,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,大灯延时关闭,-,●,●,●,●,●,-,-,-,-,-,-,●,●,●,-,●,●,●,-,-
天窗/玻璃,天窗类型,-,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,-,-,● 电动天窗,● 电动天窗,-,-,● 电动天窗,● 电动天窗,● 电动天窗,-,● 电动天窗,● 电动天窗,● 电动天窗,-,-
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-
天窗/玻璃,车窗一键升降功能,● 驾驶位,● 驾驶位,● 全车,● 全车,● 全车,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 全车,● 全车,● 全车,● 驾驶位,● 全车,● 全车,● 全车,● 驾驶位,-
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,-
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,-
外后视镜,外后视镜功能,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节 电动折叠 后视镜加热,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节,-
屏幕/系统,中控彩色屏幕,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,-
屏幕/系统,中控屏幕尺寸,-,● 8英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 8英寸,-,● 8英寸,● 8英寸,● 8英寸,-,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,-,● 12.3英寸,● 12.3英寸,● 12.3英寸,-,-
屏幕/系统,蓝牙/车载电话,-,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-
屏幕/系统,手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,语音识别控制系统,-,● 多媒体系统 导航 电话 天窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 天窗,-,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话,-,● 多媒体系统 导航 电话,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,-,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 天窗 车窗,-,-
屏幕/系统,语音助手唤醒词,-,● 你好，日产,● 你好，日产,● 你好，日产,● 你好，日产,● 你好，日产,-,-,-,-,-,-,-,-,-,-,● 你好，日产,● 你好，日产,● 你好，日产,-,-
屏幕/系统,语音免唤醒词,-,●,●,●,●,●,-,-,-,-,-,●,●,●,●,-,●,●,●,-,-
屏幕/系统,语音分区域唤醒识别,-,● 单区域,● 双区域,● 双区域,● 双区域,● 单区域,-,-,-,-,-,-,-,-,-,-,● 单区域,● 单区域,● 单区域,-,-
