セクション,項目,凌渡 2026款 凌渡L 300TSI 凌感版,凌渡 2026款 凌渡L 300TSI 凌动版,凌渡 2026款 凌渡L 300TSI 凌风版,凌渡 2026款 凌渡L GTS 380TSI 凌动版,凌渡 2026款 凌渡L GTS 380TSI 凌风版,凌渡 2026款 凌渡L GTS 380TSI 凌风百万纪念版,凌渡 2025款 凌渡L 280TSI DSG潮辣版,凌渡 2025款 凌渡L 280TSI DSG炫辣版,凌渡 2025款 凌渡L 280TSI DSG酷辣版,凌渡 2025款 凌渡L 280TSI DSG酷辣PLUS版,凌渡 2025款 凌渡L 280TSI DSG超辣旗舰版
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),160,160,160,220,220,220,150,150,150,150,150
发动机,最大功率(kW),118,118,118,162,162,162,110,110,110,110,110
发动机,最大功率转速(rpm),5500,5500,5500,4900-6700,4900-6700,4900-6700,4800-5200,4800-5200,4800-5200,4800-5200,4800-5200
发动机,最大扭矩(N·m),250,250,250,350,350,350,250,250,250,250,250
发动机,最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,1600-4300,1600-4300,1600-4300,1550-3200,1550-3200,1550-3200,1550-3200,1550-3200
发动机,最大净功率(kW),118,118,118,162,162,162,110,110,110,110,110
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,最低燃油标号,92号,92号,92号,-,-,-,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7,7,7,7
变速箱,变速箱类型,干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 205/55 R17,● 205/55 R17,"● 205/55 R17
○ 225/45 R18 (1500元)",● 225/40 R19,● 225/40 R19,● 225/40 R19,● 205/55 R17,● 205/55 R17,● 225/45 R18,● 225/45 R18,● 225/45 R18
车轮制动,后轮胎规格,● 205/55 R17,● 205/55 R17,"● 205/55 R17
○ 225/45 R18",● 225/40 R19,● 225/40 R19,● 225/40 R19,● 205/55 R17,● 205/55 R17,● 225/45 R18,● 225/45 R18,● 225/45 R18
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,膝部气囊,-,-,-,-,-,● 主驾膝部气囊,-,-,-,-,● 主驾膝部气囊
被动安全,前排中间气囊,-,●,●,●,●,●,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 前排,● 全车,● 全车,● 全车,● 全车,● 全车,● 前排,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●,●,-,●,●,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●,●,●,-,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-
主动安全,前方碰撞预警,-,●,●,●,●,●,-,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,-,-,-,-,-
驾驶操控,驾驶模式切换,● 运动,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化",● 运动,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前- / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前- / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,"● 倒车影像
○ 360度全景影像 (1800元)",● 360度全景影像,"● 倒车影像
○ 360度全景影像 (1800元)",● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,● 单目,● 单目,● 单目,-,-,-,-,-
驾驶硬件,摄像头数量,● 1个,"● 2个
○ 5个",● 5个,"● 2个
○ 5个",● 5个,● 5个,-,-,-,-,-
驾驶硬件,超声波雷达数量,● 4个,● 8个,● 8个,● 8个,● 8个,● 12个,-,-,-,-,-
驾驶硬件,毫米波雷达数量,-,● 3个,● 3个,● 3个,● 3个,● 3个,-,-,-,-,-
驾驶功能,巡航系统,-,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● IQ. Drive,● IQ. Drive,● IQ. Drive,● IQ. Drive,● IQ. Drive,-,-,● Travel Assist,● Travel Assist,● Travel Assist
驾驶功能,辅助驾驶等级,-,○ L2,● L2,○ L2,● L2,● L2,-,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,●,●,●,●,●,-,-,-,-,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 腾讯,● 腾讯,● 腾讯,● 腾讯,● 腾讯,● 腾讯,-,-,-,-,-
驾驶功能,并线辅助,-,●,●,●,●,●,-,-,-,-,●
驾驶功能,车道保持辅助系统,-,●,●,●,●,●,-,●,●,●,●
驾驶功能,车道居中保持,-,○,●,○,●,●,-,-,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,●,-,-,-,-,●
驾驶功能,遥控泊车,-,-,-,-,-,●,-,-,-,-,-
外观/防盗,外观套件,-,-,-,● 运动风格,● 运动风格,● 运动风格,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,无框设计车门,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢,-,-,●,-,●,●,-,-,●,●,●
外观/防盗,感应后备厢,-,-,●,-,●,●,-,-,●,●,●
外观/防盗,电动后备厢位置记忆,-,-,●,-,●,●,-,-,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,-,-,-,● 矩阵式,-,-,-,-,● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,-,-,●,-,-,-,-,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,-,-,-,-,-,●,-,-,-,-,-
车外灯光,转向头灯,-,-,-,-,-,●,-,-,-,-,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 10英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar"
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
屏幕/系统,语音助手唤醒词,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,-,-,-,-,-
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,-,-,-,-,-
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,-,-,-,-,-
屏幕/系统,语音连续识别,●,●,●,●,●,●,-,-,-,-,-
屏幕/系统,可见即可说,●,●,●,●,●,●,-,-,-,-,-
屏幕/系统,手势控制,●,●,●,●,●,●,-,-,-,-,-
屏幕/系统,DeepSeek应用,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,-,-,-,-,-
屏幕/系统,应用商店,●,●,●,●,●,●,-,-,-,-,-
屏幕/系统,车机系统内存(GB),● 12,● 12,● 12,● 12,● 12,● 12,-,-,-,-,-
屏幕/系统,车机系统存储(GB),● 128,● 128,● 128,● 128,● 128,● 128,-,-,-,-,-
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,-,-,-,-,-
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制","● 车门控制
● 车窗控制","● 车门控制
● 车窗控制","● 车门控制
● 车窗控制","● 车门控制
● 车窗控制"
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,○,-,○,●,-,-,○,○,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,-,-,-,-,●,●
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,-,-,-,● 前排,-,-,● 前排,● 前排,● 前排
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮
