rank,brand,model,count
1,星馳,星馳,46057
2,特斯拉,Model Y,39413
3,宏光,MINIEV,37828
4,上汽通用,荣威PLUS,35800
5,广汽本田,缤智,27695
6,海豹,海豹06新能源,25453
7,日产,轩逸,25380
8,海豹,海豹06新能源,24353
9,明锐,明锐,24320
10,博越,博越L,24169
11,海马,海马,23031
12,问界,M8,21537
13,小米,SU7,19848
14,元,元UP,19647
15,速腾,速腾,19074
16,帕萨特,帕萨特,18695
17,途观,途观L,18466
18,丰田,RAV4荣放,18312
19,星越,星越L,17758
20,特斯拉,Model 3,17739
21,卡罗拉,卡罗拉锐放,17644
22,迈腾,迈腾,16969
23,小米,YU7,16548
24,瑞虎,瑞虎8,15695
25,凯美瑞,凯美瑞,15526
26,小鹏,MONA M03,15333
27,探岳,探岳,15189
28,锋范,锋范,14920
29,长安,Lumin,14570
30,哈弗,大狗,14457
31,海豚,海豚,13968
32,途岳,途岳,13693
33,逸动,逸动,13637
34,海豹,05 DM-i,13495
35,零跑,C10,13384
36,本田,CR-V,13277
37,荣威,PLUS新能源,13098
38,奥迪,A6L,12941
39,宋Pro,新能源,12681
40,艾瑞泽,8,12577
41,长安,CS75 PLUS,12179
42,宝马,3系,12157
43,银河,A7,12078
44,五菱,宏光,12078
45,元,PLUS,11984
46,奔驰,C级,11951
47,雅阁,雅阁,11929
48,领克,威Plus,11929
49,红旗,H5,11882
50,绅宝,绅越,11761
