rank_seq,rank,model,brand,count
1,1,L7,理想,46057
2,2,Model Y,特斯拉,39413
3,3,宏光MINIEV,五菱,37828
4,4,秦PLUS,比亚迪,35800
5,5,宋,比亚迪,27695
6,5,i,比亚迪,27695
7,6,U,哪吒,25453
8,7,汉L,比亚迪,25380
9,8,S,哪吒,24353
10,9,速腾,大众,24320
11,10,某品牌L,未知,24169
12,10,汉L,比亚迪,24160
13,11,某品牌,未知,23031
14,12,某品牌M8,未知,21537
15,13,某品牌SU7,未知,19848
16,14,UP,哪吒,19647
17,14,某ブランドUP,未知,19647
18,15,凌渡,大众,19074
19,16,迈腾,未知,18695
20,17,途观L,大众,18466
21,18,RAV4荣放,丰田,18312
22,19,HS5,红旗,17758
23,20,Model 3,特斯拉,17739
24,21,CR-V,本田,17644
25,22,Q5,奥迪,16969
26,22,未知,未知,16969
27,23,未知YU7,未知,16548
28,24,未知8,未知,15695
29,25,未知,未知,15526
30,26,未知MONA M03,未知,15333
31,26,L7,理想,15333
32,27,ID.4,大众,15189
33,28,宋,比亚迪,14920
34,29,Lumin,长安,14570
35,31,昂科威,别克,14457
36,30,瑞虎8,奇瑞,14457
37,31,CS75,长安,13968
38,32,途观L,大众,13693
39,33,博越,吉利,13637
40,34,宋Pro DM-i,比亚迪,13495
41,35,CS55,长安,13384
42,39,CS55 Pro,长安,12681
43,40,宋Pro DM-i,比亚迪,12577
44,41,CS75 PLUS,长安,12179
45,42,L8,理想,12157
46,43,宏光MINIEV,五菱,12078
47,48,未知,未知,11929
48,47,未知Plus,未知,11929
49,49,未知H5,未知,11882
50,50,未知,未知,11761
